#{"t_start": 1711990683.188729, "env_id": "None"}
r,l,t
63.0,63,3616.250309
207.0,207,3623.813726
209.0,209,3632.005181
171.0,171,3639.405593
170.0,170,3646.539984
231.0,231,3654.711436
67.0,67,3659.149681
69.0,69,3664.013951
215.0,215,3671.852383
168.0,168,3678.322741
209.0,209,3685.892159
208.0,208,3693.004554
206.0,206,3700.558972
62.0,62,3704.833207
206.0,206,3712.338623
209.0,209,3720.552077
71.0,71,3725.147332
209.0,209,3732.600744
207.0,207,3740.275167
209.0,209,3747.962593
212.0,212,3756.04704
66.0,66,3760.633294
66.0,66,3765.280551
64.0,64,3769.825804
211.0,211,3777.768241
213.0,213,3785.392665
212.0,212,3793.342103
69.0,69,3798.019362
67.0,67,3802.511611
217.0,217,3810.878074
59.0,59,3815.481328
71.0,71,3820.101583
62.0,62,3824.418824
63.0,63,3828.740061
211.0,211,3837.190527
52.0,52,3841.683775
219.0,219,3850.042237
52.0,52,3856.645603
52.0,52,3859.475761
52.0,52,3862.55093
52.0,52,3865.544095
52.0,52,3868.344249
59.0,59,3872.942506
221.0,221,3881.363969
60.0,60,3885.920221
49.0,49,3890.163457
223.0,223,3898.888939
56.0,56,3903.563196
54.0,54,3907.94944
53.0,53,3912.439688
53.0,53,3916.661922
53.0,53,3921.14417
53.0,53,3925.413405
65.0,65,3929.80465
219.0,219,3938.290119
63.0,63,3942.647358
230.0,230,3951.025822
59.0,59,3955.164052
227.0,227,3963.537514
54.0,54,3967.777752
51.0,51,3972.09099
57.0,57,3976.385225
272.0,272,3984.902696
246.0,246,3993.201157
60.0,60,3997.515395
70.0,70,4002.042645
257.0,257,4011.189149
72.0,72,4015.807407
284.0,284,4024.995912
288.0,288,4034.794454
60.0,60,4039.107693
73.0,73,4043.866957
73.0,73,4048.415208
66.0,66,4053.244475
65.0,65,4057.479709
73.0,73,4062.377981
57.0,57,4066.761224
64.0,64,4071.069465
244.0,244,4079.75894
57.0,57,4084.424201
63.0,63,4088.838443
61.0,61,4093.538703
60.0,60,4097.856943
65.0,65,4103.023268
73.0,73,4108.540571
69.0,69,4113.594852
62.0,62,4118.274107
65.0,65,4123.077374
61.0,61,4127.971644
327.0,327,4139.879303
62.0,62,4144.795576
302.0,302,4156.034197
73.0,73,4161.33049
328.0,328,4173.267149
343.0,343,4185.867847
324.0,324,4197.555493
334.0,334,4209.599158
72.0,72,4214.526431
335.0,335,4226.94312
71.0,71,4231.885391
217.0,217,4241.009559
331.0,331,4251.855714
53.0,53,4256.31078
70.0,70,4261.026847
65.0,65,4265.907917
57.0,57,4270.257983
72.0,72,4275.395055
337.0,337,4286.650217
65.0,65,4291.720291
69.0,69,4296.491358
219.0,219,4304.551476
162.0,162,4311.673578
57.0,57,4316.713689
58.0,58,4321.415756
275.0,275,4330.443885
333.0,333,4341.317044
