#{"t_start": 1707317816.0819433, "env_id": "None"}
r,l,t
4774.689636,5000,67454.685247
4801.103297,5000,67539.657557
4816.558341,5000,67624.864567
4765.575563,5000,67709.646339
4555.21041,5000,67794.698588
4554.299818,5000,67879.62842
4107.871496,5000,67964.715598
4618.706902,5000,68049.896134
3938.899246,5000,68135.228774
4848.254064,5000,68220.795532
4837.961685,5000,68306.469678
4912.18065,5000,68391.826633
4936.137504,5000,68477.385222
4974.47907,5000,68562.971728
4967.317265,5000,68648.696195
4968.918578,5000,68734.565685
4942.270863,5000,68820.039055
4946.475547,5000,68905.109086
4966.397702,5000,68990.83847
4927.704443,5000,69075.999868
4982.893123,5000,69160.806102
457.302329,5000,69245.635589
4254.909399,5000,69331.177654
4980.335336,5000,69416.07391
4969.44078,5000,69501.404041
4804.446737,5000,69586.837853
4810.935789,5000,69671.73005
4836.429596,5000,69757.275389
4570.185639,5000,69843.146062
4526.018459,5000,69928.467234
4812.687104,5000,70013.854432
4877.901794,5000,70099.232025
4409.297304,5000,70184.404557
4217.62479,5000,70268.848842
4946.129744,5000,70354.270069
4341.181955,5000,70439.230581
4681.823617,5000,70524.124038
4662.823105,5000,70609.072219
4698.434568,5000,70693.757654
4814.375816,5000,70778.648913
4630.620035,5000,70863.849326
4479.772899,5000,70949.003479
4514.541267,5000,71034.350695
4538.67748,5000,71119.13983
4190.788963,5000,71204.271382
4477.935729,5000,71288.764705
4437.775884,5000,71373.781758
4733.949054,5000,71459.253328
4865.757717,5000,71546.633884
4847.065207,5000,71632.801382
4964.617994,5000,71719.638525
4810.130359,5000,71805.241715
4956.487369,5000,71890.595352
4961.32876,5000,71976.225982
4919.452029,5000,72061.446308
4930.122511,5000,72146.566427
4900.335904,5000,72232.10607
4989.087868,5000,72317.522958
5033.13152,5000,72402.963377
5039.621933,5000,72488.353621
4882.282884,5000,72574.20592
5065.144334,5000,72659.388
5117.938723,5000,72744.290942
4952.391439,5000,72829.805492
5047.303297,5000,72914.899019
4994.182343,5000,72999.632061
5090.179918,5000,73085.115469
5078.302601,5000,73170.214814
4709.166606,5000,73255.155113
4552.426237,5000,73340.016461
4709.524641,5000,73426.410043
4577.173766,5000,73511.557822
4541.371008,5000,73596.699024
4548.03882,5000,73681.370294
4636.876798,5000,73766.216467
4524.162773,5000,73851.246058
4748.980035,5000,73936.336231
4805.031622,5000,74021.512744
4639.390313,5000,74106.637896
4644.738729,5000,74191.892141
4855.838341,5000,74277.098458
4976.03278,5000,74362.293727
5047.505743,5000,74447.832026
5198.480666,5000,74533.653673
4893.058588,5000,74618.334258
4832.928635,5000,74703.210445
4850.785561,5000,74788.322026
4964.417627,5000,74873.125239
4915.618423,5000,74958.398011
4906.539087,5000,75043.005388
4872.285116,5000,75128.498445
4878.514519,5000,75213.704897
4954.355373,5000,75298.848626
4972.607221,5000,75384.441187
4945.195079,5000,75469.436421
4799.744535,5000,75554.672965
4827.84701,5000,75639.647092
4822.50064,5000,75724.941504
4713.282487,5000,75815.499007
4820.735197,5000,75902.897905
4853.868216,5000,75989.540889
4883.675566,5000,76077.054928
4698.523941,5000,76164.588012
4863.139033,5000,76251.76207
4775.691579,5000,76338.532153
4855.331522,5000,76426.288077
4898.70415,5000,76512.511018
4952.482977,5000,76597.958525
4685.586983,5000,76683.345675
4680.590818,5000,76768.651981
4969.354559,5000,76854.031817
